通し番号,ID,キャラID,キャラ名,場面ID,場面,セリフ
001,kuro_start_1,kuro,クロネコさん,start,バトル開始,フン、かかってこいよ。
002,kuro_start_2,kuro,クロネコさん,start,バトル開始,オレに 勝てるかな？
003,kuro_start_3,kuro,クロネコさん,start,バトル開始,今日こそ 負けねーからな！
004,kuro_start_4,kuro,クロネコさん,start,バトル開始,いくぜ、しょうぶだ！
005,kuro_hit1_1,kuro,クロネコさん,hit1,ダメージ小（元気なとき）,くっ…やるじゃねーか。
006,kuro_hit1_2,kuro,クロネコさん,hit1,ダメージ小（元気なとき）,フン、まぐれだろ。
007,kuro_hit1_3,kuro,クロネコさん,hit1,ダメージ小（元気なとき）,まだまだ これからだぜ。
008,kuro_hit1_4,kuro,クロネコさん,hit1,ダメージ小（元気なとき）,いてっ…なかなか やるな。
009,kuro_hit2_1,kuro,クロネコさん,hit2,ダメージ中（追い込まれてきた）,ちっ、いいのが 入ったな…！
010,kuro_hit2_2,kuro,クロネコさん,hit2,ダメージ中（追い込まれてきた）,くそっ、つよいじゃねーか！
011,kuro_hit2_3,kuro,クロネコさん,hit2,ダメージ中（追い込まれてきた）,なめてた…わけじゃ ないぞ！
012,kuro_hit2_4,kuro,クロネコさん,hit2,ダメージ中（追い込まれてきた）,うぐっ、本気 出すぞ！
013,kuro_hit3_1,kuro,クロネコさん,hit3,ダメージ大（HP30%以下・本気モード）,うおおっ、本気モードだ！
014,kuro_hit3_2,kuro,クロネコさん,hit3,ダメージ大（HP30%以下・本気モード）,ここからが オレの ほんばんだ！
015,kuro_hit3_3,kuro,クロネコさん,hit3,ダメージ大（HP30%以下・本気モード）,野球で きたえた ねばりを 見せてやる！
016,kuro_hit3_4,kuro,クロネコさん,hit3,ダメージ大（HP30%以下・本気モード）,まだ 終わっちゃ いねーぞ！
017,kuro_combo_1,kuro,クロネコさん,combo,連続で正解された,なんだ その れんぞく攻撃は！
018,kuro_combo_2,kuro,クロネコさん,combo,連続で正解された,ま、待て、はやすぎるぞ！
019,kuro_combo_3,kuro,クロネコさん,combo,連続で正解された,おまえ… 練習したな？
020,kuro_wrong_1,kuro,クロネコさん,wrong,プレイヤーが間違えた,フン、べつに。
021,kuro_wrong_2,kuro,クロネコさん,wrong,プレイヤーが間違えた,その ていどか？
022,kuro_wrong_3,kuro,クロネコさん,wrong,プレイヤーが間違えた,あまいな！
023,kuro_wrong_4,kuro,クロネコさん,wrong,プレイヤーが間違えた,よそ見してると やられるぜ。
024,kuro_wrong_5,kuro,クロネコさん,wrong,プレイヤーが間違えた,おっと、もらった！
025,kuro_timeup_1,kuro,クロネコさん,timeup,プレイヤーが時間切れ,おそい！ 時間ぎれだ！
026,kuro_timeup_2,kuro,クロネコさん,timeup,プレイヤーが時間切れ,考えすぎだぜ。
027,kuro_timeup_3,kuro,クロネコさん,timeup,プレイヤーが時間切れ,時間は まってくれないぞ。
028,kuro_heal_1,kuro,クロネコさん,heal,プレイヤーが回復した,ちっ、かいふくかよ！
029,kuro_heal_2,kuro,クロネコさん,heal,プレイヤーが回復した,てだすけとは ずるいぜ。
030,kuro_heal_3,kuro,クロネコさん,heal,プレイヤーが回復した,そんなんで オレに 勝てるかな？
031,kuro_heal_4,kuro,クロネコさん,heal,プレイヤーが回復した,まだまだ しぶといな…！
032,kuro_ko_1,kuro,クロネコさん,ko,自分が負けた（KO）,うぐぐ…つ、つよいな…！
033,kuro_ko_2,kuro,クロネコさん,ko,自分が負けた（KO）,まいった… 次は 負けねーからな！
034,kuro_ko_3,kuro,クロネコさん,ko,自分が負けた（KO）,くっそー！ おぼえてろよ！
035,kuro_win_1,kuro,クロネコさん,win,自分が勝った,フン、まだまだだな。
036,kuro_win_2,kuro,クロネコさん,win,自分が勝った,また しょうぶ しようぜ。
037,kuro_win_3,kuro,クロネコさん,win,自分が勝った,スイカでも 食って 出なおしな。
038,fute_start_1,fute,フテ猫,start,バトル開始,ふん、やる気は あるみたいだな。
039,fute_start_2,fute,フテ猫,start,バトル開始,おれを たおせるかな。
040,fute_start_3,fute,フテ猫,start,バトル開始,…はじめるか。
041,fute_start_4,fute,フテ猫,start,バトル開始,てかげんは しないぞ。
042,fute_hit1_1,fute,フテ猫,hit1,ダメージ小（元気なとき）,むっ…やるな。
043,fute_hit1_2,fute,フテ猫,hit1,ダメージ小（元気なとき）,…まぐれだ。
044,fute_hit1_3,fute,フテ猫,hit1,ダメージ小（元気なとき）,まだ 本気じゃないぞ。
045,fute_hit1_4,fute,フテ猫,hit1,ダメージ小（元気なとき）,ちっ、いたいな。
046,fute_hit2_1,fute,フテ猫,hit2,ダメージ中（追い込まれてきた）,ぐっ…けっこう つよいな。
047,fute_hit2_2,fute,フテ猫,hit2,ダメージ中（追い込まれてきた）,なかなか やるじゃないか…！
048,fute_hit2_3,fute,フテ猫,hit2,ダメージ中（追い込まれてきた）,ちょっと 見なおしたぞ。
049,fute_hit2_4,fute,フテ猫,hit2,ダメージ中（追い込まれてきた）,うぐっ、あなどれんな。
050,fute_hit3_1,fute,フテ猫,hit3,ダメージ大（HP30%以下・本気モード）,ここからが おれの 本気だ！
051,fute_hit3_2,fute,フテ猫,hit3,ダメージ大（HP30%以下・本気モード）,まだ 終わってないぞ！
052,fute_hit3_3,fute,フテ猫,hit3,ダメージ大（HP30%以下・本気モード）,しぶとさなら まけない！
053,fute_hit3_4,fute,フテ猫,hit3,ダメージ大（HP30%以下・本気モード）,ふんばりどころだな…！
054,fute_combo_1,fute,フテ猫,combo,連続で正解された,な、なんだ その はやさは！
055,fute_combo_2,fute,フテ猫,combo,連続で正解された,ま、待て、つづけすぎだ！
056,fute_combo_3,fute,フテ猫,combo,連続で正解された,…練習したな？
057,fute_wrong_1,fute,フテ猫,wrong,プレイヤーが間違えた,ふん、そんなものか。
058,fute_wrong_2,fute,フテ猫,wrong,プレイヤーが間違えた,よく 見ろよ。
059,fute_wrong_3,fute,フテ猫,wrong,プレイヤーが間違えた,あわてすぎだ。
060,fute_wrong_4,fute,フテ猫,wrong,プレイヤーが間違えた,おっと、いただきだ。
061,fute_timeup_1,fute,フテ猫,timeup,プレイヤーが時間切れ,おそいぞ。
062,fute_timeup_2,fute,フテ猫,timeup,プレイヤーが時間切れ,考えすぎだ。
063,fute_timeup_3,fute,フテ猫,timeup,プレイヤーが時間切れ,時間は まってくれないぞ。
064,fute_heal_1,fute,フテ猫,heal,プレイヤーが回復した,むっ、かいふくか。
065,fute_heal_2,fute,フテ猫,heal,プレイヤーが回復した,しぶといやつめ…！
066,fute_heal_3,fute,フテ猫,heal,プレイヤーが回復した,それでも おれは たおれんぞ。
067,fute_ko_1,fute,フテ猫,ko,自分が負けた（KO）,むぅ…まいった。
068,fute_ko_2,fute,フテ猫,ko,自分が負けた（KO）,…つよいな、みとめよう。
069,fute_ko_3,fute,フテ猫,ko,自分が負けた（KO）,くっ、次は こうはいかんぞ。
070,fute_win_1,fute,フテ猫,win,自分が勝った,ふん、まだまだだな。
071,fute_win_2,fute,フテ猫,win,自分が勝った,また いつでも こい。
072,fute_win_3,fute,フテ猫,win,自分が勝った,コーヒーでも のんで 出なおせ。
073,chap_start_1,chap,チャッピーちゃん,start,バトル開始,さあ、しょうぶだよ！
074,chap_start_2,chap,チャッピーちゃん,start,バトル開始,ぼくも 本気で いくからね！
075,chap_start_3,chap,チャッピーちゃん,start,バトル開始,よーい、スタート！
076,chap_start_4,chap,チャッピーちゃん,start,バトル開始,たのしく たたかおう！
077,chap_hit1_1,chap,チャッピーちゃん,hit1,ダメージ小（元気なとき）,あっ、いまの するどい！
